events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('G', 'a'), ('F', 'a'))",b,36,202,0.36633663366336633,0.2253052164261931,1.625957176998488
"(('G', 'a'), ('F', 'a'))",c,50,196,0.504950495049505,0.21864594894561598,2.309443634718802
"(('G', 'a'), ('F', 'a'))",o,64,348,0.6435643564356436,0.3873473917869034,1.6614655734914467
"(('G', 'a'), ('G', 'a'))",b,32,159,0.32673267326732675,0.17758046614872364,1.8399133663366338
"(('G', 'a'), ('G', 'a'))",c,32,0,0.32673267326732675,0,294.3861386138614
"(('G', 'a'), ('G', 'a'))",o,21,0,0.21782178217821782,0,196.25742574257424
"(('H', 'c'), ('A', 'c'))",o,61,341,0.6138613861386139,0.3795782463928968,1.617219616698512
"(('H', 'c'), ('A', 'c'))",c,59,226,0.594059405940594,0.2519422863485017,2.357918611244384
"(('H', 'c'), ('A', 'c'))",b,42,217,0.42574257425742573,0.24195338512763595,1.7596057770914706
"(('H', 'c'), ('A', 'a'))",c,56,223,0.5643564356435643,0.2486126526082131,2.270022984441301
"(('H', 'c'), ('A', 'a'))",o,65,344,0.6534653465346535,0.38290788013318533,1.7065863108049937
"(('H', 'c'), ('A', 'a'))",b,43,208,0.43564356435643564,0.23196448390677027,1.878061490359562
"(('H', 'c'), ('D', 'a'))",o,67,364,0.6732673267326733,0.4051054384017758,1.6619557846195578
"(('H', 'c'), ('D', 'a'))",c,56,234,0.5643564356435643,0.26082130965593786,2.1637665894248994
"(('H', 'c'), ('D', 'a'))",b,45,236,0.45544554455445546,0.2630410654827969,1.7314617537703139
